grad_rate,school_type,magnet,teachers_per_student,support_per_teacher,log_math_pass,log_read_pass,avg_salaries_admin_per_student,urban_centric_locale,avg_teacher_salaries,lunch_program
0.94,Regular,no,0.05362116991643454,0.3003896103896104,3.6109179126442243,3.4657359027997265,254.24512534818942,Town,49103.32467532468,yes
0.95,Regular,no,0.05204460966542751,0.17857142857142858,3.7376696182833684,3.295836866004329,279.9467360594796,Rural,55422.25,no
0.87,Regular,no,0.050761421319796954,0.16666666666666666,3.6109179126442243,3.7376696182833684,275.5166294416244,Rural,55165.8,no
0.97,Regular,no,0.053452115812917596,0.20833333333333334,4.04305126783455,4.04305126783455,333.42142316258355,Rural,52355.166666666664,no
0.87,Regular,no,0.04952076677316294,0.12903225806451613,3.7376696182833684,3.091042453358316,264.34657028754,Rural,49686.709677419356,no
0.93,Regular,no,0.06987201660325147,0.09900990099009901,4.23410650459726,4.189654742026425,334.19238602559665,City,56349.99504950495,no
0.96,Regular,no,0.06888068880688807,0.1036607142857143,4.2626798770413155,4.290459441148391,384.21198523985237,City,59034.625,no
0.97,Regular,no,0.05283867341202923,0.1702127659574468,4.31748811353631,4.23410650459726,326.02062282181,Suburb,58006.54255319149,no
0.95,Regular,no,0.052328623757195186,0.1967,4.30406509320417,4.290459441148391,360.11561381475667,Suburb,58715.54,no
0.97,Regular,no,0.038539553752535496,0.2894736842105263,3.9512437185814275,3.8501476017100584,351.70588235294116,Suburb,84353.68421052632,no
0.92,Regular,no,0.05891472868217054,0.28157894736842104,3.7376696182833684,3.6109179126442243,478.25891472868216,Town,50105.71052631579,no
0.97,Regular,no,0.056413700470114174,0.18095238095238095,4.290459441148391,4.248495242049359,301.27707320349225,Rural,62345.96428571428,no
0.89,Regular,no,0.05707762557077625,0.2622,3.8501476017100584,3.9512437185814275,470.9172020547945,Town,54320.96,no
0.97,Regular,no,0.05835010060362173,0.20413793103448274,3.8501476017100584,3.9512437185814275,292.054861167002,Town,44645.34482758621,no
0.77,Regular,no,0.06808510638297872,0.9375,3.295836866004329,3.091042453358316,714.8936170212766,City,51122.0625,yes
0.92,Regular,no,0.06447368421052632,0.16122448979591839,4.276666119016055,4.276666119016055,309.003125,Rural,57636.95918367347,no
0.9,Regular,no,0.06048387096774194,0.26666666666666666,3.9512437185814275,3.9512437185814275,332.9930695564516,Town,50303.11666666667,no
0.82,Regular,no,0.012845849802371542,0.6153846153846154,3.901972669574645,3.901972669574645,301.2068922924901,Town,70732.84615384616,no
0.92,Regular,no,0.07082630691399663,0.2619047619047619,3.4657359027997265,3.295836866004329,285.72628667790894,Suburb,48019.54761904762,no
